state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price,ingested_at_utc
Gujarat,Valsad,Chikli(Khorgam) APMC,Pointed gourd(Parval),Other,FAQ,21/04/2026,2500.0,2750.0,2625.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Sabarkantha,Modasa(Tintoi) APMC,Castor Seed,Castor seed,Local,21/04/2026,4250.0,5650.0,5650.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Sabarkantha,Meghraj(Rellavada) APMC,Wheat,Lokwan,Local,21/04/2026,2150.0,2400.0,2400.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Dahod,Davgadbaria(Piplod) APMC,Paddy(Common),Common,Non-FAQ,21/04/2026,1250.0,1280.0,1270.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Mehsana,Mehsana(Jornang) APMC,Wheat,Other,Local,21/04/2026,2155.0,2665.0,2500.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Mehsana,Mehsana(Mehsana Veg) APMC,Lemon,Lemon,Local,21/04/2026,13000.0,16000.0,14000.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Mehsana,Mehsana(Mehsana Veg) APMC,Lime,Other,Local,21/04/2026,4800.0,5000.0,4900.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Chhota Udaipur,Modasar APMC,Cotton,Shanker 6 (B) 30mm FIne,FAQ,21/04/2026,7750.0,8550.0,8250.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Rajkot,Rajkot APMC,Wheat,Lokwan,FAQ,21/04/2026,2175.0,2450.0,2230.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Rajkot,Rajkot APMC,Castor Seed,Castor seed,FAQ,21/04/2026,5800.0,6220.0,5975.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Rajkot,Rajkot APMC,Black Gram(Urd Beans)(Whole),Black Gram (Whole),FAQ,21/04/2026,5250.0,7650.0,6600.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Rajkot,Rajkot APMC,Green Gram(Moong)(Whole),Green (Whole),FAQ,21/04/2026,4500.0,9000.0,7650.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Rajkot,Rajkot APMC,Garlic,Garlic,FAQ,21/04/2026,3925.0,7875.0,5800.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Morbi,Morbi APMC,Cotton,Other,FAQ,21/04/2026,6995.0,8375.0,7685.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Morbi,Morbi APMC,Cummin Seed(Jeera),Cummin Seed(Jeera),FAQ,21/04/2026,16000.0,20450.0,18225.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Amreli,Rajula APMC,Methi Seeds,Methiseeds,Local,21/04/2026,6755.0,6755.0,6755.0,2026-04-28T19:31:14.006465+00:00
